Id,Jurusan,Semester,Forum_Diskusi,Video_Interaktif,Kuis_Otomatis,Feedback_Dosen,Reminder_Jadwal,Download_Materi,Live_Chat,AI_Pembantu,Gamifikasi,Quiz_Bersertifikat,Simulasi,Pembelajaran_Adaptif
1,Kimia,8,1,0,1,0,0,1,1,1,0,0,0,0
2,Biologi,3,1,1,1,1,0,1,1,1,1,0,0,0
3,Statistika,5,1,1,0,1,1,0,0,0,0,1,0,1
4,Biologi,6,1,1,1,0,1,0,1,0,1,1,0,0
5,Biologi,1,1,0,1,0,1,1,1,1,0,1,1,0
6,Fisika,5,1,0,1,1,1,1,0,1,0,0,1,0
7,Statistika,6,1,0,0,0,0,1,1,1,1,1,0,1
8,Statistika,4,0,1,1,0,1,0,1,1,1,0,1,1
9,Statistika,5,0,0,0,0,0,1,1,1,1,1,0,1
10,Biologi,7,0,1,0,0,1,1,0,1,1,1,0,1
11,Kimia,1,1,0,0,1,1,1,0,1,1,0,0,0
12,Statistika,6,1,1,0,1,1,1,1,1,1,0,1,0
13,Biologi,6,0,1,1,1,1,1,0,1,1,0,0,1
14,Fisika,6,1,1,1,0,0,1,1,0,0,1,0,0
15,Kimia,4,1,0,1,0,0,0,1,0,0,1,0,1
16,Fisika,5,0,0,0,0,1,0,0,1,0,1,1,1
17,Kimia,4,0,0,0,0,0,0,1,0,1,0,0,1
18,Biologi,8,1,1,0,0,0,0,1,0,0,0,1,1
19,Matematika,2,1,1,1,1,0,0,0,0,0,1,1,1
20,Kimia,2,1,1,0,0,1,0,1,0,1,1,1,1
21,Fisika,8,1,1,1,1,0,0,1,0,1,0,1,0
22,Biologi,5,1,1,1,0,0,0,1,0,1,0,0,0
23,Kimia,7,1,0,0,0,1,1,1,1,0,1,0,0
24,Matematika,4,1,1,1,0,1,1,0,1,1,0,1,1
25,Matematika,1,1,0,0,1,0,0,1,0,0,0,0,0
26,Statistika,6,0,0,1,1,0,1,1,0,0,0,1,1
27,Statistika,6,0,1,1,1,0,1,1,1,0,1,1,0
28,Fisika,5,0,0,0,0,0,0,1,0,0,1,1,1
29,Kimia,7,1,0,0,0,0,0,0,1,0,1,1,0
30,Kimia,2,1,1,1,1,1,1,1,1,1,1,1,1
31,Statistika,2,1,0,1,0,1,1,0,1,0,1,1,1
32,Kimia,6,0,1,0,1,1,1,0,0,1,0,0,0
33,Kimia,5,0,0,1,0,0,0,0,1,1,1,1,0
34,Matematika,4,0,0,1,0,1,0,1,0,0,0,0,1
35,Statistika,2,0,0,1,0,0,0,1,1,0,1,0,0
36,Biologi,4,1,0,0,0,1,0,1,1,0,0,1,0
37,Statistika,7,0,1,1,1,1,0,1,0,1,0,0,1
38,Biologi,2,0,0,1,0,0,0,1,0,0,0,0,1
39,Matematika,2,1,1,0,0,1,1,1,0,0,0,0,1
40,Fisika,3,0,0,0,0,0,1,0,1,0,0,1,0
41,Kimia,2,1,1,1,0,1,0,0,0,1,0,1,0
42,Matematika,8,1,1,0,1,0,1,0,1,1,1,1,1
43,Kimia,1,0,1,1,1,0,0,1,0,0,0,0,1
44,Fisika,8,1,0,0,1,1,0,1,1,1,1,1,1
45,Fisika,5,1,0,0,1,0,0,0,1,1,1,1,0
46,Matematika,5,1,0,1,0,1,1,0,1,1,1,0,0
47,Fisika,4,0,1,0,1,0,1,1,1,1,1,0,0
48,Biologi,8,1,0,1,0,1,1,0,0,1,1,0,0
